parcel_id,vns_bldg_style,vns_bldg_use,vns_gla,vns_bldg_area_effective,vns_pct_good,cns_assess_val,bld_year_built,bld_effective_year_built,bld_grade,bld_condition,bld_units
1-1,,,,2632,79,283100,,,,,
1-2,,,,3043,86,467700,,,,,
1-3-100,,,,2266,83,359600,,,,,
1-3-200,,,,5242,91,964300,,,,,
1-6,,,,3227,89,616700,,,,,
1-8,,,,3037,88,397200,,,,,
1-9,,,,3943,79,372500,,,,,
1-10,,,,3040,90,634800,,,,,
2-1,,,,2496,90,353900,,,,,
2-2,,,,0,,0,,,,,
2-3,,,,3850,82,413600,,,,,
2-4,,,,0,,0,,,,,
2-5,,,,2900,90,500600,,,,,
2-6,,,,3295,92,583800,,,,,
2-7,,,,2066,91,385900,,,,,
2-8,,,,0,,0,,,,,
2-9,,,,2029,90,303200,,,,,
2-10,,,,2117,92,346400,,,,,
2-11,,,,0,,0,,,,,
2-12,,,,0,,0,,,,,
2-13,,,,0,,0,,,,,
2-14,,,,2611,71,14300,,,,,
2-15,,,,4743,68,897100,,,,,
2-16,,,,2696,82,364700,,,,,
3-2,,,,2213,90,359600,,,,,
3-4,,,,1493,86,254100,,,,,
3-5,,,,0,,0,,,,,
3-6,,,,2802,82,449000,,,,,
3-7,,,,2243,86,306400,,,,,
3-8,,,,3139,82,488100,,,,,
3-9,,,,3621,79,522700,,,,,
3-10,,,,4055,83,568500,,,,,
3-11,,,,3022,94,552600,,,,,
3-12,,,,2348,79,359500,,,,,
3-13,,,,3406,92,640600,,,,,
3-14,,,,2858,90,501300,,,,,
3-15,,,,2623,83,415900,,,,,
3-16,,,,4106,88,561900,,,,,
3-17,,,,3108,88,527200,,,,,
3-18,,,,4715,82,624000,,,,,
3-19,,,,4482,88,685100,,,,,
3-20,,,,3373,97,581400,,,,,
3-21,,,,0,,0,,,,,
3-22,,,,4081,94,881300,,,,,
3-23,,,,2535,88,328100,,,,,
3-24,,,,2096,88,316400,,,,,
3-28,,,,5617,88,785000,,,,,
3-33,,,,3278,88,557100,,,,,
3-34,,,,3190,83,526200,,,,,
3-35,,,,0,,0,,,,,
3-36,,,,2872,87,383700,,,,,
3-37,,,,3353,94,551400,,,,,
3-38,,,,2880,83,432500,,,,,
3-39,,,,4045,86,600200,,,,,
3-40,,,,3654,82,449500,,,,,
3-41,,,,2431,86,327300,,,,,
3-42,,,,2049,91,307800,,,,,
3-43,,,,2432,82,332500,,,,,
4-1,,,,2839,71,248900,,,,,
4-1,,,,2371,63,249400,,,,,
4-2,,,,1731,67,165200,,,,,
4-4,,,,5212,66,392200,,,,,
4-4,,,,5222,66,399300,,,,,
4-4,,,,5225,66,393000,,,,,
4-5,,,,,,,,,,,
4-6,,,,1846,83,235600,,,,,
4-7,,,,3774,86,445000,,,,,
4-8,,,,2876,79,308300,,,,,
4-9,,,,2283,76,279100,,,,,
4-10,,,,1547,76,202600,,,,,
4-11,,,,2809,79,368000,,,,,
4-12,,,,2110,86,294700,,,,,
4-13,,,,2984,93,612600,,,,,
4-14,,,,2371,94,432300,,,,,
4-15,,,,3638,87,585400,,,,,
4-16,,,,3599,91,596100,,,,,
4-17,,,,2926,74,491400,,,,,
4-17,,,,1222,93,276000,,,,,
4-18-100,,,,2831,94,532300,,,,,
4-18-200,,,,3336,91,579400,,,,,
4-19,,,,4443,79,520600,,,,,
4-20,,,,2441,79,305200,,,,,
4-21,,,,2289,74,254300,,,,,
4-22,,,,2267,83,283400,,,,,
4-23-104,,,,3206,81,433800,,,,,
4-23-203,,,,2916,81,399700,,,,,
4-23-305,,,,2561,81,352600,,,,,
4-23-403,,,,2643,81,411200,,,,,
4-23-505,,,,2622,81,340800,,,,,
4-23-602,,,,2614,81,400000,,,,,
4-23-706,,,,2771,84,398800,,,,,
4-23-802,,,,2265,81,375900,,,,,
4-23-906,,,,2909,81,435100,,,,,
4-23-1001,,,,2320,84,368200,,,,,
4-23-1107,,,,2542,81,362100,,,,,
4-23-1201,,,,2569,81,374800,,,,,
4-23-1307,,,,2746,81,385100,,,,,
4-23-1418,,,,2546,81,342700,,,,,
4-23-1508,,,,2636,81,411000,,,,,
4-23-1618,,,,2758,81,413600,,,,,
4-23-1708,,,,2629,84,421600,,,,,
4-23-1909,,,,2636,81,382600,,,,,
4-23-2017,,,,2643,81,374800,,,,,
4-23-2109,,,,2612,81,361300,,,,,
4-23-2216,,,,2601,88,409100,,,,,
4-23-2310,,,,2976,81,411800,,,,,
4-23-2416,,,,2193,81,325700,,,,,
4-23-2511,,,,2631,84,413300,,,,,
4-23-2615,,,,2775,81,388200,,,,,
4-23-2711,,,,2739,81,389700,,,,,
4-23-2815,,,,2871,84,392100,,,,,
4-23-2912,,,,2814,81,394900,,,,,
4-23-3014,,,,2704,81,378500,,,,,
4-23-3112,,,,2613,81,381100,,,,,
4-23-3213,,,,2954,81,406500,,,,,
4-24,,,,13108,70,1369900,,,,,
4-25,,,,1982,92,264300,,,,,
4-26,,,,4381,91,622500,,,,,
4-27,,,,1933,71,210100,,,,,
4-28,,,,1976,83,261800,,,,,
4-29,,,,2009,93,278900,,,,,
4-30,,,,3289,90,391700,,,,,
4-31,,,,2429,90,339600,,,,,
4-32,,,,3100,87,421100,,,,,
4-33,,,,2778,79,357900,,,,,
4-34,,,,1970,79,258000,,,,,
4-35,,,,2255,79,288400,,,,,
4-36,,,,2742,79,337300,,,,,
4-37,,,,1733,82,240300,,,,,
4-38,,,,2180,86,299500,,,,,
4-39,,,,1733,82,244800,,,,,
4-40,,,,1679,82,236100,,,,,
4-41,,,,1718,86,243200,,,,,
4-42,,,,2455,82,300000,,,,,
4-43,,,,1943,86,288300,,,,,
4-44,,,,1663,76,228400,,,,,
4-45,,,,2745,79,346800,,,,,
4-46,,,,1786,79,225900,,,,,
4-47,,,,3197,82,383300,,,,,
4-48,,,,1629,86,250300,,,,,
4-49,,,,2255,82,294500,,,,,
4-50,,,,3489,79,371700,,,,,
4-51,,,,1701,79,221200,,,,,
4-52,,,,1834,82,251600,,,,,
4-53,,,,1726,86,262800,,,,,
4-54,,,,1745,82,246700,,,,,
4-55,,,,4121,82,444700,,,,,
4-56,,,,2226,79,263700,,,,,
4-57,,,,1744,79,240700,,,,,
4-58,,,,2903,82,382300,,,,,
4-59,,,,2249,82,308300,,,,,
4-60,,,,1658,79,217900,,,,,
4-61,,,,3971,82,429100,,,,,
4-62,,,,1704,82,239800,,,,,
4-63,,,,1779,83,263100,,,,,
4-64,,,,0,,0,,,,,
4-65,,,,1609,79,216700,,,,,
4-66,,,,2514,79,313600,,,,,
4-67,,,,1688,79,230000,,,,,
4-68,,,,1613,82,236500,,,,,
4-69,,,,2637,82,336600,,,,,
4-70,,,,2126,79,263500,,,,,
4-71,,,,1988,79,243600,,,,,
4-72,,,,3020,79,415700,,,,,
4-73,,,,1857,82,263300,,,,,
4-74,,,,1688,79,231800,,,,,
4-75,,,,2519,79,305800,,,,,
4-76,,,,1786,79,234000,,,,,
4-77,,,,4567,70,500900,,,,,
4-79,,,,0,,0,,,,,
4-80,,,,1486,71,165300,,,,,
4-81,,,,2306,78,264300,,,,,
4-82,,,,1736,75,202400,,,,,
4-83,,,,2407,67,253400,,,,,
4-84,,,,0,,0,,,,,
4-85,,,,2104,86,290000,,,,,
4-86,,,,2095,86,275600,,,,,
4-87,,,,2710,82,361200,,,,,
4-88,,,,2417,82,320800,,,,,
5-1,,,,1625,60,138800,,,,,
5-1,,,,1625,60,145800,,,,,
5-1,,,,1625,60,145800,,,,,
5-1,,,,1625,60,145800,,,,,
5-1,,,,1625,60,145800,,,,,
5-1,,,,1625,60,145800,,,,,
5-1,,,,1775,60,153600,,,,,
5-1,,,,1775,60,153600,,,,,
5-1,,,,1775,60,153600,,,,,
5-1,,,,1775,60,153600,,,,,
5-1,,,,1775,60,153600,,,,,
5-1,,,,1775,60,153600,,,,,
5-1,,,,1925,60,160900,,,,,
5-1,,,,4680,18,98500,,,,,
5-1,,,,5448,64,394000,,,,,
5-1,,,,9360,64,644400,,,,,
5-1,,,,2106,86,253200,,,,,
5-1,,,,2106,86,253200,,,,,
5-1,,,,2106,86,253200,,,,,
5-1,,,,2145,86,262900,,,,,
5-1,,,,2147,86,256300,,,,,
5-1,,,,2317,86,268700,,,,,
5-1,,,,3055,86,332700,,,,,
5-1,,,,3099,86,336200,,,,,
5-1,,,,3099,86,336200,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4663,86,455900,,,,,
5-1,,,,4802,86,466700,,,,,
5-1,,,,4804,86,466900,,,,,
5-1,,,,4804,86,466900,,,,,
5-1,,,,4804,86,466900,,,,,
5-1,,,,6313,86,605000,,,,,
5-1,,,,6313,86,605000,,,,,
5-1,,,,7852,86,735200,,,,,
5-1,,,,7852,86,735200,,,,,
5-1,,,,7852,86,735200,,,,,
5-1,,,,7852,86,735200,,,,,
5-1,,,,2225,85,262200,,,,,
5-1,,,,2050,86,248800,,,,,
5-1,,,,2106,86,253200,,,,,
5-1,,,,2147,86,256300,,,,,
5-1,,,,2932,86,311400,,,,,
5-1,,,,2932,86,311400,,,,,
5-1,,,,2932,86,311400,,,,,
5-1,,,,2932,86,311400,,,,,
5-1,,,,2932,86,311400,,,,,
5-1,,,,2932,86,311400,,,,,
5-1,,,,2932,86,311400,,,,,
5-1,,,,3055,86,332700,,,,,
5-1,,,,4449,86,440000,,,,,
5-1,,,,4577,86,442600,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4577,86,449500,,,,,
5-1,,,,4658,86,455500,,,,,
5-1,,,,4658,86,455500,,,,,
5-1,,,,4663,86,455900,,,,,
5-1,,,,4804,86,466900,,,,,
5-1,,,,4804,86,466900,,,,,
5-1,,,,6447,86,615200,,,,,
5-1,,,,2912,87,289600,,,,,
5-1-70100,,,,1077,79,156700,,,,,
5-2,,,,0,,0,,,,,
5-2-70100,,,,33002,70,1374900,,,,,
6-1,,,,0,,0,,,,,
7-1,,,,0,,0,,,,,
7-2,,,,685,60,50600,,,,,
7-2,,,,6746,75,642400,,,,,
7-3,,,,3519,87,433300,,,,,
7-4,,,,1380,66,143300,,,,,
7-5,,,,1844,60,160200,,,,,
7-6,,,,2074,91,258200,,,,,
7-7,,,,3024,90,403700,,,,,
7-8,,,,1402,80,186300,,,,,
7-9,,,,0,,0,,,,,
7-10,,,,0,,0,,,,,
8-1,,,,65715,91,4230400,,,,,
8-2-100,,,,58438,81,4563900,,,,,
8-2-101,,,,1913,91,318200,,,,,
8-2-102,,,,2136,91,327400,,,,,
8-2-103,,,,2092,91,331700,,,,,
8-2-104,,,,1873,91,317000,,,,,
8-2-200,,,,94315,75,3303300,,,,,
