parcel_id,lnd_street_frontage,lnd_depth,lnd_site_index,lnd_pricing_code,lnd_assess_val,lnd_line_num,lnd_bldg_num,lnd_occ_desc,lnd_occ_code,lnd_type
1-1,,,,,4300.00,2,1,ONE FAM,,
1-1,,,,,159600.00,1,1,ONE FAM,,
1-2,,,,,4100.00,2,1,ONE FAM,,
1-2,,,,,144000.00,1,1,ONE FAM,,
1-3-100,,,,,2200.00,2,1,ONE FAM,,
1-3-100,,,,,159600.00,1,1,ONE FAM,,
1-3-200,,,,,16600.00,2,1,ONE FAM,,
1-3-200,,,,,159600.00,1,1,ONE FAM,,
1-6,,,,,15700.00,2,1,ONE FAM,,
1-6,,,,,255400.00,1,1,ONE FAM,,
1-8,,,,,5500.00,2,1,ONE FAM,,
1-8,,,,,159600.00,1,1,ONE FAM,,
1-9,,,,,200.00,2,1,ONE FAM,,
1-9,,,,,159600.00,1,1,ONE FAM,,
1-10,,,,,6200.00,2,1,ONE FAM,,
1-10,,,,,159600.00,1,1,ONE FAM,,
2-1,,,,,1900.00,2,1,ONE FAM,,
2-1,,,,,159600.00,1,1,ONE FAM,,
2-2,,,,,159300.00,1,1,RES LAND,,
2-3,,,,,159300.00,1,1,ONE FAM,,
2-4,,,,,0.00,1,1,OPEN SPACE,,
2-5,,,,,152900.00,1,1,ONE FAM,,
2-6,,,,,154100.00,1,1,ONE FAM,,
2-7,,,,,144400.00,1,1,ONE FAM,,
2-8,,,,,136800.00,1,1,RES LAND,,
2-9,,,,,112100.00,1,1,ONE FAM,,
2-10,,,,,102500.00,1,1,ONE FAM,,
2-11,,,,,0.00,1,1,OPEN SPACE,,
2-12,,,,,400.00,1,1,UNDEV,,
2-13,,,,,300.00,1,1,UNDEV,,
2-14,,,,,11200.00,1,1,ONE FAM,,
2-15,,,,,257500.00,1,1,DAY CARE,,
2-16,,,,,133600.00,1,1,ONE FAM,,
3-2,,,,,2400.00,3,1,ONE FAM,,
3-2,,,,,8000.00,2,1,ONE FAM,,
3-2,,,,,159600.00,1,1,ONE FAM,,
3-4,,,,,2200.00,2,1,ONE FAM,,
3-4,,,,,190000.00,1,1,ONE FAM,,
3-5,,,,,70900.00,2,1,MUNICPAL,,
3-5,,,,,332300.00,1,1,MUNICPAL,,
3-6,,,,,800.00,2,1,ONE FAM,,
3-6,,,,,359100.00,1,1,ONE FAM,,
3-7,,,,,3600.00,2,1,ONE FAM,,
3-7,,,,,359100.00,1,1,ONE FAM,,
3-8,,,,,147900.00,1,1,ONE FAM,,
3-9,,,,,147900.00,1,1,ONE FAM,,
3-10,,,,,137200.00,1,1,ONE FAM,,
3-11,,,,,146200.00,1,1,ONE FAM,,
3-12,,,,,142300.00,1,1,ONE FAM,,
3-13,,,,,137900.00,1,1,ONE FAM,,
3-14,,,,,140100.00,1,1,ONE FAM,,
3-15,,,,,141600.00,1,1,ONE FAM,,
3-16,,,,,142300.00,1,1,ONE FAM W ACC,,
3-17,,,,,700.00,2,1,ONE FAM,,
3-17,,,,,159600.00,1,1,ONE FAM,,
3-18,,,,,1500.00,2,1,ONE FAM,,
3-18,,,,,199500.00,1,1,ONE FAM,,
3-19,,,,,159300.00,1,1,ONE FAM,,
3-20,,,,,1200.00,2,1,ONE FAM,,
3-20,,,,,199500.00,1,1,ONE FAM,,
3-21,,,,,1800.00,2,1,POTNLDEV,,
3-21,,,,,63800.00,1,1,POTNLDEV,,
3-22,,,,,5000.00,2,1,2 FAMILY,,
3-22,,,,,215500.00,1,1,2 FAMILY,,
3-23,,,,,142300.00,1,1,ONE FAM,,
3-24,,,,,138700.00,1,1,ONE FAM,,
3-28,,,,,5700.00,3,1,ONE FAM,,
3-28,,,,,8000.00,2,1,ONE FAM,,
3-28,,,,,159600.00,1,1,ONE FAM,,
3-33,,,,,600.00,2,1,ONE FAM,,
3-33,,,,,159600.00,1,1,ONE FAM,,
3-34,,,,,159300.00,1,1,ONE FAM,,
3-35,,,,,74000.00,2,1,MUNICPAL,,
3-35,,,,,1173000.00,1,1,MUNICPAL,,
3-36,,,,,140800.00,1,1,ONE FAM,,
3-37,,,,,140100.00,1,1,ONE FAM,,
3-38,,,,,134400.00,1,1,ONE FAM,,
3-39,,,,,159400.00,1,1,ONE FAM,,
3-40,,,,,159200.00,1,1,ONE FAM,,
3-41,,,,,139400.00,1,1,ONE FAM,,
3-42,,,,,140100.00,1,1,ONE FAM,,
3-43,,,,,143700.00,1,1,ONE FAM,,
4-1,,,,,,1,2,MEDICAL OFF,,
4-1,,,,,4000.00,2,1,MEDICAL OFF-Res,,
