Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
rem mblu map,rem mblu map cut,rem mblu block,rem mblu block cut,rem mblu lot,rem mblu lot cut,,rem mblu unit,rem mblu unit cut,rem prcl locn street,rem prcl locn,own name,co own name,address1,address2,city,state,zip,book pg,saleprice,saledate,qualified,grantor,rem use code,lnd zone,prc ttl lnd area acres,prc ttl assess bldg,prc ttl assess xf,prc ttl assess lnd,prc ttl assess ob,prc ttl assess,cns area living,vns ayb,vns style desc,rem pid,vns grade,vns grade desc,vns roof struct desc,vns roof cover desc,vns int flr1 desc,vns int wall1 desc,vns ext wall1 desc,cns area effective,vns tot rooms,vns num bedrm,vns num baths,vns num hbaths,vns bathrm style desc,vns kitchen style desc,vns heat type desc,vns heat fuel desc,vns ac type desc,cns pct good,cns eyb code,lnd nbhd,vns stories,ahd ttl assess bldg,ahd ttl assess xf,ahd ttl assess lnd,ahd ttl assess ob,ahd ttl assess,ID1 Prior Sale Price,ID1 Prior Sale Date,ID1 Prior Book Page,ID2 Prior Sale Price,ID2 Prior Sale Date,ID2 Prior Book Page,ID3 Prior Sale Price,ID3 Prior Sale Date,ID3 Prior Book Page
      1,   ,      1,   ,       ,   ,,       ,   ,FARAWAY,17 FARAWAY LN ,"BEATTY, JOHN J &","MASOR, LOIS",17 FARAWAY LN,,WEST LEBANON,NH,03784,0/0,0,2017-10-23 00:00:00,Q,"GREENHALGH, LEONARD ",1010,R3,2.34,283100,0,163900,14900,461900,2332,1963,CONTEMPORY,1,C-,AVG. (-),GABLE,STD SEAM,CARPET,DRYWALL,TEX 111,2632,7,3,2,0,GOOD,AVERAGE,FORCED H/A,OIL,,79,A,R2,2,283100,0,163900,14900,461900,0,2001-11-05 00:00:00,2602/0661,0,2001-07-25 00:00:00,2567/0326,260000,1989-01-26 00:00:00,1794/0965
      2,   ,     15,   ,       ,   ,,       ,   ,N MAIN,434 N MAIN ST ,TINY SEEDS VILLAGE LLC,,228 PARK AVE S,,NEW YORK,NY,10003-1502,4813/0100,2013000,2023-07-17 00:00:00,Q,CENTURION PROP INC,3520,R3,0.74,897100,0,257500,22900,1177500,3368,1960,SCHOOL,2,B+,Good (+),GABLE,ASPHALT SH,CARPET,DRYWALL,CLAPBOARD,4743,,,,,,,FORCED H/A,OIL,,68,VG,R5,1,822700,0,257600,22600,1102900,365000,2002-05-01 00:00:00,2885/0916,365000,2001-03-23 00:00:00,2524/0982,0,1987-01-22 00:00:00,1650/0626
      3,   ,      2,   ,       ,   ,,       ,   ,WILDWOOD,15 WILDWOOD DR ,"ANDERSON, PHILIP & MCCUE, MARIAM","& ANDERSON, PAMELA",15 WILDWOOD DR,,WEST LEBANON,NH,03784,4649/581,565000,2021-06-17 00:00:00,Q,"LUSARDI, ANNAMARIA",1010,R3,3.61,359600,0,170000,0,529600,1267,1980,CONTEMPORY,3,B-,GOOD (-),GABLE,ASPHALT SH,CARPET,DRYWALL,WOOD,2213,8,4,2,1,GOOD,GOOD,ELECTRC BB,ELECTRIC,,90,VG,R2,1,359600,0,170000,0,529600,337000,2003-09-12 00:00:00,2890/0293,337000,1979-06-13 00:00:00,1370/0754,0,1901-01-01 00:00:00,0/0
      3,   ,      4,   ,       ,   ,,       ,   ,WILDWOOD,21 WILDWOOD DR ,"WYATT, MICHAEL W &","ALBERTI, GIORGIO &",21 WILDWOOD DR,,WEST LEBANON,NH,03784,4276/0487,374000,2017-04-05 00:00:00,Q,"ELIZALDE, SERGI",1010,R3,1.77,254100,2500,192200,12300,461100,1086,1967,SPLIT/RSD RANCH,5,C+,AVG. (+),GABLE,STD SEAM,HARDWOOD,DRYWALL,WOOD,1493,7,3,1,0,GOOD,GOOD,FORCED H/W,GAS,,86,G,R2,1,254100,0,192500,2100,448700,325533,2007-08-31 00:00:00,3445/0248,325533,1967-06-12 00:00:00,1054/0569,0,1900-01-01 00:00:00,0/0
      3,   ,      5,   ,       ,   ,,       ,   ,WILDWOOD,0 WILDWOOD DR,CITY OF LEBANON,,51 NORTH PARK STREET,,LEBANON,NH,03766,0/0,0,1997-06-05 00:00:00,Q,CITY OF LEBANON,9030,R3,18.73,0,0,403200,0,403200,0,,,6,,,,,,,,0,,,,,,,,,,,,R2,,0,0,403200,0,403200,0,1997-06-05 00:00:00,0/0,0,1997-06-05 00:00:00,0/0,0,1989-12-15 00:00:00,1837/0617
      3,   ,      6,   ,       ,   ,,       ,   ,WILDWOOD,25 WILDWOOD DR ,"KELLY, LAWRENCE & LORRAINE TTEES",TOMPKINS-KELLY FAMILY TRUST,25 WILDWOOD DR,,WEST LEBANON,NH,03784,4654/406,0,2021-08-01 00:00:00,U,"KELLY, LORRAINE TOMPKINS TTEE",1010,R3,1.21,449000,0,359900,1200,810100,2375,1968,RANCH,7,B+,GOOD (+),GABLE,ASPHALT SH,CARPET,DRYWALL,CLAPBOARD,2802,8,3,2,1,GOOD,GOOD,ELECTRC BB,ELECTRIC,,82,AG,R2,1,449000,0,359900,1200,810100,575000,2010-07-30 00:00:00,3719/0414,575000,1996-09-06 00:00:00,2216/0341,0,1982-08-18 00:00:00,1452/0471
      3,   ,      7,   ,       ,   ,,       ,   ,WILDWOOD,27 WILDWOOD DR ,"CHAMBERLAIN, R M TTEE","CHAMBERLAIN, R M REV TRST",27 WILDWOOD DR,,WEST LEBANON,NH,03784,2884/0006,0,2003-08-22 00:00:00,Q,"CHAMBERLAIN, RAMONA M  TTEE",1010,R3,1.89,306400,0,362700,0,669100,1506,1974,RANCH,8,C+,AVG. (+),GABLE,ASPHALT SH,CARPET,DRYWALL,AVERAGE,2243,7,3,1,0,AVERAGE,AVERAGE,FORCED H/W,OIL,,86,AG,R2,1,306400,0,362700,0,669100,290000,2000-08-30 00:00:00,2483/0954,290000,1970-04-09 00:00:00,1115/0521,0,1901-01-01 00:00:00,0/0
      3,   ,      8,   ,       ,   ,,       ,   ,WILDWOOD,29 WILDWOOD DR,"SMITH, MARISA TTEE","SMITH, MARISA REVOC TRUST",PO BOX 5452,,HANOVER,NH,03755,4644/94,0,2021-06-22 00:00:00,U,"SMITH, MADLYN R TTEE",1010,R3,0.62,488100,0,147900,0,636000,2320,1970,COLONIAL,9,B,GOOD,GABLE,ASPHALT SH,HARDWOOD,DRYWALL,CLAPBOARD,3139,7,3,2,1,AVERAGE,AVERAGE,FORCED H/A,OIL,,82,AG,R2,2,488100,0,147800,0,635900,0,1998-01-29 00:00:00,2295/0564,0,1989-06-30 00:00:00,1811/0454,240000,1901-01-01 00:00:00,0/0
      3,   ,      9,   ,       ,   ,,       ,   ,WILDWOOD,33 WILDWOOD DR,"ESHBAUGH, J C & M J TTEE","ESHBAUGH, J C & M J TRST",33 WILDWOOD DR,,WEST LEBANON,NH,03784,4118/0392,0,2015-03-27 00:00:00,Q,"ESHBAUGH, JOEL C & MEGAN",1010,R3,0.62,522700,0,147900,1500,672100,2900,1966,COLONIAL,10,B,GOOD,GABLE,STD SEAM,CARPET,DRYWALL,VINYL,3621,9,4,3,1,AVERAGE,GOOD,FORCED H/W,OIL,,79,A,R2,2,495000,0,147800,1600,644400,390000,2012-07-20 00:00:00,3901/0781,390000,1997-04-30 00:00:00,2249/0938,200000,1973-07-03 00:00:00,1197/0541
      3,   ,     10,   ,       ,   ,,       ,   ,WILDWOOD,37 WILDWOOD DR ,"HUTCHINS, J J & J S CO-TTEES","HUTCHINS, J & J REV TRST",37 WILDWOOD DR,,WEST LEBANON,NH,03784,4465/0453,0,2019-09-13 00:00:00,Q,"VERGE, JEANETTE S TTEE",1010,R3,0.48,568500,0,137200,900,706600,3177,1981,CAPE,11,B,GOOD,GABLE,ASPHALT SH,CARPET,DRYWALL,ALUMINUM,4055,10,4,3,1,AVERAGE,AVERAGE,FORCED H/W,OIL,,83,A,R2,1H,589100,0,137200,900,727200,340000,2001-08-15 00:00:00,2571/0788,340000,1988-03-18 00:00:00,1729/0597,315000,1901-01-01 00:00:00,0/0
